Ligand,Binding Affinity,rmsd/ub, rmsd/lb
alpha_spinasterin,-9.1,0,0
Ursolic_acid,-8.8,0,0
lupeol,-8.6,0,0
stigmasterol,-8.6,0,0
Taraxerol,-8.5,0,0
Beta_amyrin,-8.5,0,0
Friedelane,-8.4,0,0
oleanolic_acid,-8.4,0,0
serratagenic_acid,-8.4,0,0
Genistin,-8.4,0,0
Campesterol,-8.2,0,0
queretaroic_acid,-8.2,0,0
N-Trans-feruloyltramine,-8.1,0,0
Beta_sitosterol,-8,0,0
Oleracein_B,-8,0,0
N-Trans-feruloyloctopamine,-7.9,0,0
Oleracein_A,-7.9,0,0
Naringenin,-7.7,0,0
pelargonidin-3-glucoside,-7.7,0,0
Baicalein,-7.7,0,0
Apigenin,-7.7,0,0
Kaempferol,-7.7,0,0
Kuromanin,-7.6,0,0
Isorhamnetin,-7.6,0,0
cianidanol,-7.6,0,0
luteolin,-7.6,0,0
Quercetin,-7.6,0,0
Scutellarein,-7.5,0,0
N-cis-feruloyltramine,-7.5,0,0
